,price,qty,quoteQty,isBuyerMaker
0,0.77,64.93,49.9961,-1
2,0.77,1129.64,869.8228,-1
3,0.77,629.72,484.8844,-1
5,0.77,2259.08,1739.4916,-1
8,0.77,12.97,9.9869,-1
9,0.77,12.97,9.9869,-1
11,0.77,12.97,9.9869,-1
12,0.77,77.92,59.9984,-1
20,0.77,2259.08,1739.4916,1
21,0.77,986.18,759.3586,1
22,0.77,629.72,484.8844,1
23,0.77,1183.36,911.1872,1
24,0.77,12.97,9.9869,1
31,0.77,629.72,484.8844,-1
34,0.77,986.18,759.3586,-1
35,0.77,527.73,406.3521,-1
36,0.77,1183.36,911.1872,-1
37,0.77,15.23,11.7271,-1
39,0.77,155.94,120.0738,-1
40,0.77,12.97,9.9869,-1
42,0.77,389.35,299.7995,-1
51,0.771,11.51,8.87421,-1
53,0.77,1131.11,870.9547,1
58,0.77,1183.36,911.1872,1
59,0.77,527.73,406.3521,1
60,0.77,1000.0,770.0,1
61,0.77,629.72,484.8844,1
62,0.77,986.18,759.3586,1
65,0.77,129.88,100.0076,1
66,0.77,129.88,100.0076,1
67,0.77,129.88,100.0076,1
70,0.77,12.97,9.9869,1
80,0.77,1000.0,770.0,1
82,0.77,500.0,385.0,1
83,0.77,100.0,77.0,1
84,0.77,10.84,8.3468,1
86,0.77,12.97,9.9869,1
90,0.77,77.92,59.9984,-1
92,0.77,20.87,16.0699,-1
93,0.77,25.0,19.25,-1
94,0.77,64.93,49.9961,-1
97,0.77,100.0,77.0,-1
99,0.77,45.45,34.9965,-1
104,0.77,1129.64,869.8228,-1
105,0.77,629.72,484.8844,-1
106,0.77,527.73,406.3521,-1
110,0.77,12.97,9.9869,-1
111,0.77,10.84,8.3468,-1
113,0.77,625.39,481.5503,-1
115,0.77,89.67,69.0459,-1
120,0.77,89.67,69.0459,-1
121,0.77,1131.11,870.9547,-1
124,0.77,89.67,69.0459,-1
125,0.77,1131.11,870.9547,-1
126,0.77,89.67,69.0459,-1
127,0.77,89.67,69.0459,-1
128,0.77,89.67,69.0459,-1
129,0.77,89.67,69.0459,-1
130,0.77,89.67,69.0459,-1
136,0.77,1131.11,870.9547,1
139,0.77,12.97,9.9869,1
142,0.77,10.86,8.3622,1
147,0.77,625.39,481.5503,1
153,0.77,45.45,34.9965,-1
154,0.77,986.18,759.3586,-1
