,price,qty
0,3.784,138.0
1,3.785,330.89
2,3.786,1905.09
3,3.787,1210.73
4,3.788,2827.98
5,3.789,1401.02
6,3.79,1544.25
7,3.791,4728.25
8,3.792,2692.06
9,3.793,1756.06
10,3.794,559.91
11,3.795,704.45
12,3.796,833.21
13,3.797,438.76
14,3.798,7002.43
15,3.799,687.89
16,3.8,116.97
17,3.801,1854.37
18,3.802,460.39
19,3.803,660.68
20,3.804,164.92
21,3.805,660.67
22,3.806,38.71
23,3.807,910.19
24,3.808,38.77
25,3.809,1134.49
26,3.81,514.63
27,3.811,341.8
28,3.812,12.19
29,3.813,356.12
30,3.815,2625.24
31,3.816,44.15
32,3.817,332.32
33,3.818,1311.06
34,3.819,356.05
35,3.82,788.19
36,3.821,90.84
37,3.822,330.23
38,3.823,30.84
39,3.824,529.58
40,3.825,90.29
41,3.826,391.76
42,3.827,1064.44
43,3.828,332.39
44,3.829,31.52
45,3.83,350.68
46,3.831,28.5
47,3.833,356.11
48,3.835,356.06
49,3.836,2.83
50,3.837,356.05
51,3.839,30.01
52,3.841,28.41
53,3.842,5.21
54,3.843,31.63
55,3.844,783.85
56,3.845,26.4
57,3.846,400.86
58,3.847,78.68
59,3.849,7.79
60,3.85,247.08
61,3.851,3.43
62,3.852,8.03
63,3.855,43.87
64,3.856,2.83
65,3.858,5.23
66,3.859,2.07
67,3.86,132.99
68,3.864,39.65
69,3.865,5268.17
70,3.866,5375.16
71,3.867,7789.56
72,3.869,2.06
73,3.87,208.18
74,3.873,249.67
75,3.875,1942.1
76,3.876,2.83
77,3.878,41.9
78,3.879,3.35
79,3.88,692.03
80,3.883,216.39
81,3.886,2.0
82,3.889,2.05
83,3.89,318.02
84,3.893,5.26
85,3.896,41.87
86,3.897,2.83
87,3.899,554.86
88,3.9,1834.5
89,3.905,5.49
90,3.91,459.27
91,3.911,34.78
92,3.913,1.43
93,3.915,5.23
94,3.917,2.83
95,3.918,14.46
96,3.919,111.62
97,3.92,1849.01
98,3.922,1.67
99,3.924,17.92
100,3.925,4.87
101,3.928,33.24
102,3.929,99.8
103,3.93,2120.02
104,3.932,3.81
105,3.933,25.81
106,3.935,175.15
107,3.937,2.83
108,3.938,264.73
109,3.94,27.17
110,3.945,17.39
111,3.946,2.0
112,3.947,60.65
113,3.948,17509.32
114,3.95,4456.95
115,3.952,91.1
116,3.953,25.9
117,3.954,2615.86
118,3.955,51.09
119,3.957,2.83
120,3.958,11.71
121,3.96,1188.58
122,3.965,22.19
123,3.966,260.23
124,3.967,10.29
125,3.968,8.03
126,3.969,9.51
127,3.97,1248.73
128,3.974,134.05
129,3.977,148.24
130,3.978,2.83
131,3.979,74.55
132,3.98,959.26
133,3.981,5.65
134,3.984,132.02
135,3.986,49.6
136,3.987,99.8
137,3.988,253.53
138,3.989,461.01
139,3.99,2305.31
140,3.991,1973.67
141,3.994,2.67
142,3.995,401.71
143,3.996,4.77
144,3.997,292.72
