,price,qty
0,3.783,412.84
1,3.782,1481.3
2,3.781,1241.09
3,3.78,1769.44
4,3.779,1606.25
5,3.778,3001.75
6,3.777,1531.89
7,3.776,2312.9
8,3.775,1929.39
9,3.774,1758.74
10,3.773,442.49
11,3.772,509.54
12,3.771,739.27
13,3.77,622.16
14,3.769,368.53
15,3.768,440.01
16,3.767,465.62
17,3.766,1283.12
18,3.765,7784.32
19,3.764,466.88
20,3.763,379.39
21,3.762,697.31
22,3.761,1191.28
23,3.76,728.59
24,3.759,535.38
25,3.758,675.84
26,3.757,366.66
27,3.756,29.53
28,3.755,385.68
29,3.754,171.12
30,3.753,440.15
31,3.752,40.99
32,3.751,340.16
33,3.75,2185.3
34,3.749,368.48
35,3.748,80235.64
36,3.747,359.38
37,3.746,562.98
38,3.745,758.88
39,3.744,592.98
40,3.743,416.42
41,3.742,36.37
42,3.741,354.08
43,3.74,1791.66
44,3.739,370.46
45,3.738,98.97
46,3.737,125.77
47,3.736,1363.22
48,3.735,1793.18
49,3.734,61.18
50,3.733,85.9
51,3.732,273.5
52,3.731,354.0
53,3.73,52.82
54,3.729,2695.14
55,3.728,950.95
56,3.727,584.86
57,3.726,2117.39
58,3.725,1230.43
59,3.724,10.05
60,3.723,778.59
61,3.722,323.57
62,3.721,700.19
63,3.72,2124.73
64,3.719,2926.5
65,3.718,161500.97
66,3.717,1009.66
67,3.716,219.14
68,3.715,115.51
69,3.714,55.85
70,3.713,337.19
71,3.712,242.25
72,3.711,29.77
73,3.71,27835.16
74,3.709,1130.13
75,3.708,54.13
76,3.707,62.84
77,3.706,311.2
78,3.705,92.66
79,3.704,627.18
80,3.703,1.9
81,3.702,930.33
82,3.701,594.37
83,3.7,2309.02
84,3.699,690.01
85,3.697,1831.4
86,3.696,1962.94
87,3.695,645.38
88,3.693,2.17
89,3.692,75.83
90,3.69,16.2
91,3.688,5.05
92,3.687,9.48
93,3.686,108.51
94,3.685,18.8
95,3.684,36.64
96,3.682,94.82
97,3.681,53.78
98,3.678,455.98
99,3.674,20.19
100,3.673,2.83
101,3.672,32.62
102,3.671,1564.15
103,3.67,25.19
104,3.668,81.64
105,3.667,20.19
106,3.665,640.19
107,3.664,545.48
108,3.663,23.05
109,3.66,500.0
110,3.659,22.83
111,3.658,177.51
112,3.657,122.83
113,3.654,2.83
114,3.653,19.13
115,3.65,240.78
116,3.648,54.82
117,3.647,8.26
118,3.646,54.85
119,3.641,198.66
120,3.64,1200.42
121,3.635,2.83
122,3.633,78.05
123,3.632,31.35
124,3.631,40.95
125,3.63,10.0
126,3.626,110.27
127,3.625,220.68
128,3.624,38.35
129,3.621,2135.63
130,3.62,30870.48
131,3.617,987.0
132,3.616,2.83
133,3.613,425.11
134,3.612,5.52
135,3.611,279.84
136,3.61,4056.77
137,3.607,114.93
138,3.606,7282.93
139,3.604,3.16
140,3.603,83.26
141,3.602,83.28
142,3.601,69.3
143,3.6,21401.39
144,3.599,278.0
145,3.597,2.83
146,3.595,196.4
147,3.594,13.89
148,3.593,61.66
149,3.59,29.27
150,3.588,24.2
151,3.585,101.56
152,3.584,24.2
153,3.583,87.28
154,3.582,5.23
155,3.581,24.2
156,3.58,252.88
157,3.578,2.83
158,3.577,24.2
159,3.576,527.15
160,3.573,108.64
161,3.571,8.15
162,3.566,8763.71
163,3.565,560.44
164,3.563,126.24
165,3.562,437.42
166,3.56,410.26
167,3.559,2.83
168,3.556,23.94
169,3.555,846.27
170,3.551,563.17
171,3.55,21288.13
172,3.546,16.54
173,3.544,1478.07
174,3.542,8.64
175,3.541,1480.09
176,3.54,590.88
177,3.539,2.83
178,3.536,36.76
179,3.534,113.19
180,3.531,100.0
181,3.53,713.87
182,3.52,3.23
183,3.519,31.28
184,3.518,6286.46
185,3.51,1211.11
186,3.509,85.49
187,3.507,27.2
188,3.506,289.08
189,3.505,2331.48
190,3.502,736.44
191,3.5,4013.43
192,3.494,513.79
193,3.491,513.77
194,3.488,2.03
195,3.48,721.28
196,3.479,3.27
197,3.478,17.36
198,3.477,423.67
199,3.474,25.67
200,3.47,25.67
201,3.469,1.45
202,3.467,8.15
203,3.465,350.0
204,3.464,11.0
205,3.461,3.03
206,3.456,5.42
207,3.451,985.22
208,3.45,9483.09
209,3.443,130.69
210,3.44,33.46
211,3.438,3.31
212,3.435,2.03
213,3.433,21.84
214,3.423,60.02
215,3.419,1462.41
216,3.418,58.51
217,3.417,6.4
218,3.416,8.16
219,3.412,3.07
220,3.411,58.62
221,3.41,40.35
222,3.406,10.0
223,3.4,4991.91
224,3.398,879.22
225,3.395,5.52
226,3.39,3.22
227,3.386,3.24
228,3.383,2.04
229,3.38,456.0
230,3.368,351.56
231,3.366,8.16
232,3.364,3.12
233,3.363,3.81
234,3.358,5.12
235,3.352,1.64
236,3.351,1995.51
237,3.35,6259.71
238,3.346,448.83
239,3.345,81.05
240,3.344,3.85
241,3.342,448.83
242,3.34,152.2
243,3.338,448.83
244,3.335,5.62
245,3.334,1.58
246,3.332,2.03
247,3.331,635.0
248,3.33,215.2
249,3.327,225.42
250,3.326,58.1
251,3.325,65.69
252,3.324,4.04
253,3.322,299.33
254,3.321,1596.9
255,3.319,3.43
256,3.318,1596.89
257,3.317,11.32
258,3.316,151.02
259,3.311,2990.69
260,3.31,19.57
261,3.309,36.17
262,3.308,550.12
263,3.306,3.95
264,3.305,22.46
265,3.304,189.16
266,3.303,9.08
267,3.302,1029.67
268,3.301,908.81
269,3.3,1871.37
270,3.291,182.4
271,3.29,559.05
272,3.288,182.39
273,3.287,563.03
274,3.282,2.03
275,3.28,388.35
276,3.277,76.28
277,3.276,11.82
278,3.27,40.58
279,3.269,4.05
280,3.268,1560.58
281,3.267,8.15
282,3.26,794.87
283,3.254,31.53
284,3.253,6.94
285,3.251,4.1
286,3.25,444.97
287,3.242,3.51
288,3.24,12.6
289,3.233,6.18
290,3.23,14.31
291,3.228,63.51
292,3.224,3.25
293,3.218,6.14
294,3.215,4.2
295,3.213,155.61
296,3.211,116.29
297,3.21,391.24
298,3.204,3.55
299,3.203,1558.81
300,3.202,1.57
301,3.2,1732.3
302,3.199,1.57
303,3.197,4.25
304,3.187,15.68
305,3.184,2.03
306,3.182,786.58
307,3.18,90.02
308,3.179,9.45
309,3.178,786.57
310,3.175,786.57
311,3.17,354.67
312,3.167,3.6
313,3.166,94.75
314,3.165,40.0
315,3.164,632.11
316,3.163,800.21
317,3.161,10.6
318,3.16,627.43
319,3.159,633.11
320,3.151,43.14
321,3.15,1208.36
322,3.145,317.0
323,3.144,7593.6
324,3.143,4.4
325,3.138,263.33
326,3.136,2.03
327,3.135,60.2
328,3.134,3.35
329,3.13,1600.75
330,3.125,4.45
331,3.123,240.16
332,3.12,7676.84
333,3.112,385.59
334,3.111,22.31
335,3.11,328.88
336,3.108,4.5
337,3.107,1641.45
338,3.105,6.36
339,3.103,16.11
340,3.1,2053.92
341,3.094,3.68
342,3.093,5388.0
343,3.091,4.55
344,3.09,13.7
345,3.089,6.89
346,3.087,178.16
347,3.084,2756.16
348,3.08,33.99
349,3.075,1124.62
350,3.074,4.6
351,3.072,1124.62
352,3.07,794.25
353,3.069,125.19
354,3.068,1124.64
355,3.067,683.51
356,3.065,16714.19
357,3.062,1.64
358,3.06,777.6
359,3.059,3.72
360,3.058,71.71
361,3.057,4.65
362,3.055,37.63
363,3.052,75.91
364,3.051,122.84
365,3.05,3046.14
366,3.049,6.48
367,3.047,164.8
368,3.046,3.45
369,3.044,1466.9
370,3.042,143.24
371,3.041,1466.89
372,3.04,13.7
373,3.038,1045.23
374,3.035,1045.22
375,3.033,100.0
376,3.032,100.0
377,3.023,11.06
378,3.02,44.03
379,3.016,6.69
380,3.012,1401.0
381,3.011,49.77
382,3.01,3156.44
383,3.008,28.18
384,3.007,4.15
385,3.003,3.49
386,3.002,33.32
387,3.0,7721.93
388,2.999,830.27
389,2.997,2.03
390,2.995,6.6
391,2.993,33.41
392,2.99,675.16
393,2.98,719.58
394,2.973,165.87
395,2.964,13.49
396,2.961,3.54
397,2.96,26.86
398,2.951,341.01
399,2.95,6854.98
400,2.949,338.98
401,2.942,6.71
402,2.94,7.97
403,2.931,45.66
404,2.93,284.4
405,2.923,752.65
406,2.921,1.81
407,2.92,1082.66
408,2.919,3.6
409,2.911,3019.95
410,2.91,1589.19
411,2.905,298.93
412,2.9,6659.58
413,2.899,1.73
414,2.89,17.44
415,2.889,70.69
416,2.888,34.62
417,2.885,200.0
418,2.883,15.0
419,2.882,500.0
420,2.88,485.31
421,2.879,1100.0
422,2.878,3.65
423,2.871,300.0
424,2.87,413.57
425,2.865,52.35
426,2.863,49.99
427,2.861,1048.58
428,2.86,37.06
429,2.855,5.25
430,2.854,1262.05
431,2.852,1262.05
432,2.85,351.53
433,2.849,1262.05
434,2.843,729.4
435,2.841,729.4
436,2.84,1.77
437,2.839,6.96
438,2.837,3.7
439,2.836,2.99
440,2.835,352.73
441,2.833,51.95
442,2.83,138.88
443,2.827,53059.78
444,2.823,31.72
445,2.821,1100.0
446,2.82,78.98
447,2.819,88.73
448,2.816,2.03
449,2.815,8.37
450,2.813,200.53
451,2.812,668.94
452,2.811,515.05
453,2.81,6.43
454,2.808,202.0
455,2.805,53.47
456,2.801,738.88
457,2.8,4253.47
458,2.799,9.08
459,2.797,3.75
460,2.788,7.09
461,2.785,80.38
462,2.783,703.4
463,2.781,35.95
464,2.78,2085.01
465,2.772,2.03
466,2.771,1.81
467,2.77,1200.0
468,2.759,3.8
469,2.756,1.85
470,2.754,19.79
471,2.752,10.9
472,2.75,201.69
473,2.746,109.24
474,2.741,166.04
475,2.739,7.21
476,2.73,3.66
477,2.729,2.03
478,2.72,170.91
479,2.711,23.05
480,2.708,60.89
481,2.705,139.34
482,2.704,2.28
483,2.701,1851.16
484,2.7,4910.5
485,2.697,4.07
486,2.693,1.89
487,2.69,77.76
488,2.687,2.03
489,2.682,3.91
490,2.68,157.94
491,2.671,748.78
492,2.66,384.61
493,2.656,263.55
494,2.654,18.83
495,2.652,1.89
496,2.651,38.02
497,2.65,893.07
498,2.645,6.0
499,2.643,7.48
500,2.64,4807.69
501,2.625,457.14
502,2.623,220.24
503,2.622,19.14
504,2.62,159.45
505,2.619,23.17
506,2.616,382.26
507,2.615,191.2
508,2.613,112.52
509,2.612,5.74
510,2.611,126.96
511,2.61,1329.53
512,2.609,26.93
513,2.608,4.02
514,2.604,2.03
515,2.602,20.0
516,2.601,108.02
517,2.6,3607.99
518,2.598,21.74
519,2.596,7.61
520,2.59,398.45
521,2.589,3.86
522,2.582,3.83
523,2.58,1550.91
524,2.575,3.89
525,2.573,466.38
526,2.572,4.08
527,2.57,1075.46
528,2.565,7.53
529,2.564,2.03
530,2.563,1807.79
531,2.561,1807.79
532,2.56,264.67
533,2.558,1164.59
534,2.555,366.02
535,2.554,168.18
536,2.551,53.91
537,2.55,2390.88
538,2.548,60.6
539,2.546,2.0
540,2.545,3.93
541,2.542,20.07
542,2.54,3658.17
543,2.538,20.0
544,2.536,4.14
545,2.535,497.04
546,2.533,3.94
547,2.531,7.9
548,2.53,2123.7
549,2.525,93.2
550,2.524,202.03
551,2.522,19.04
552,2.521,400.62
553,2.52,2549.36
554,2.517,45.1
555,2.515,842.52
556,2.514,46.1
557,2.511,273.34
558,2.51,11174.98
559,2.509,100.0
560,2.507,199.44
561,2.506,708.65
562,2.505,11.89
563,2.503,2.39
564,2.501,2.39
565,2.5,9796.33
566,2.495,222.13
567,2.492,10.49
568,2.49,823.97
569,2.488,782.86
570,2.487,2010.45
571,2.485,2.03
572,2.484,2.02
573,2.482,402.9
574,2.481,16.35
575,2.48,621.96
576,2.477,20.18
577,2.475,102.87
578,2.471,16.42
579,2.47,2257.87
580,2.468,8.95
581,2.467,2.53
582,2.466,61.02
583,2.464,103.24
584,2.462,20.3
585,2.46,178.87
586,2.459,386.33
587,2.458,2.05
588,2.456,507.45
589,2.455,10.0
590,2.453,10.8
591,2.45,3536.37
592,2.447,104.18
593,2.444,6.13
594,2.441,102.41
595,2.44,1985.28
596,2.437,82.06
597,2.436,102.62
598,2.431,4.32
599,2.43,477.11
600,2.429,2.47
601,2.426,2.1
602,2.425,2.09
603,2.422,42.66
604,2.421,13.36
605,2.42,1024.94
606,2.415,10.0
607,2.413,3.73
608,2.412,414.59
609,2.411,29.9
610,2.41,434.1
611,2.405,20.79
612,2.402,59.83
613,2.401,70.82
614,2.4,5023.13
615,2.398,20.85
616,2.397,4.38
617,2.395,41.75
618,2.39,463.39
619,2.386,67.0
620,2.384,6.32
621,2.38,243.95
622,2.377,25.41
623,2.375,4.21
624,2.371,151.0
625,2.37,400.0
626,2.369,105.52
627,2.365,2.17
628,2.364,4.44
629,2.363,50.0
630,2.362,211.68
631,2.36,867.82
632,2.358,20.64
633,2.357,848.53
634,2.356,21.22
635,2.355,5.3
636,2.354,4.38
637,2.35,627.55
638,2.345,548.42
639,2.34,10.0
640,2.339,16.27
641,2.333,4.71
642,2.332,8.58
643,2.331,4.5
644,2.33,273.6
645,2.327,13.6
646,2.325,176.34
647,2.321,42.94
648,2.32,574.18
649,2.313,208.34
650,2.31,1474.02
651,2.304,25.0
652,2.3,3593.31
653,2.299,4.57
654,2.296,2.6
655,2.29,38.78
656,2.289,7.9
657,2.285,70.0
658,2.283,43.8
659,2.276,50.0
660,2.27,84.06
661,2.267,4.63
662,2.264,64.5
663,2.261,4.81
664,2.26,67.22
665,2.254,44.36
666,2.251,125.0
667,2.25,2291.69
668,2.249,44.46
669,2.248,34.0
670,2.24,2.24
671,2.239,21.29
672,2.235,4.7
673,2.231,1000.0
674,2.23,136.0
675,2.228,2692.99
676,2.222,2846.82
677,2.22,1356.69
678,2.215,57.29
679,2.21,566.05
680,2.204,4.76
681,2.203,2.27
682,2.202,68.11
683,2.2,4042.57
684,2.198,47.91
685,2.197,9.88
686,2.193,2.5
687,2.191,5.7
688,2.19,15.0
689,2.18,235.0
690,2.175,45.97
691,2.173,4.83
692,2.17,40.81
693,2.165,2.33
694,2.164,173.04
695,2.16,101.1
696,2.154,25.0
697,2.15,34.32
698,2.148,46.55
699,2.143,4.9
700,2.14,120.06
701,2.13,475.48
702,2.127,3.08
703,2.126,288.68
704,2.122,3743.88
705,2.121,94.28
706,2.12,335.36
707,2.119,39.1
708,2.113,4.97
709,2.112,7.1
710,2.111,10.0
711,2.11,510.0
712,2.108,71.15
713,2.101,95.19
714,2.1,2151.88
715,2.09,355.24
716,2.083,5.04
717,2.081,2.41
718,2.08,323.07
719,2.075,3.83
720,2.074,24.1
721,2.064,90.71
722,2.063,4.0
723,2.062,1000.0
724,2.061,3.0
725,2.06,207.28
726,2.054,5.11
727,2.052,12.18
728,2.05,1456.35
729,2.048,6.1
730,2.04,49.01
731,2.039,86.0
732,2.032,50.0
733,2.026,5.18
734,2.024,236.16
735,2.02,2085.67
736,2.015,50.0
737,2.013,195.0
738,2.012,158.88
739,2.01,348.25
740,2.005,1064.96
741,2.002,2636.5
742,2.0,26594.69
743,1.991,12.55
744,1.99,715.34
745,1.987,50.32
746,1.986,53.38
747,1.98,267.7
748,1.97,203.04
749,1.969,30.46
750,1.964,47.66
751,1.96,541.32
752,1.955,2557.54
753,1.95,241.73
754,1.94,26.28
755,1.935,3.08
756,1.92,36.94
757,1.905,15.74
758,1.9,3561.48
759,1.89,58.49
760,1.888,5.29
761,1.88,15.95
762,1.873,13.34
763,1.87,267.38
764,1.864,25.11
765,1.86,381.71
766,1.851,29.7
767,1.85,1072.83
768,1.843,841.02
769,1.84,108.69
770,1.821,20.0
771,1.81,28.17
772,1.806,128.05
773,1.8,3547.43
774,1.795,5.57
775,1.785,560.22
776,1.78,14.04
777,1.777,112.54
778,1.77,282.48
779,1.768,5656.1
780,1.765,10.84
781,1.764,26.55
782,1.751,5.71
783,1.75,101.13
784,1.74,10.0
785,1.73,17.34
786,1.701,20.0
787,1.7,1549.87
788,1.688,5.92
789,1.675,89.55
790,1.65,43.36
791,1.638,117.46
792,1.633,122.47
793,1.63,218.4
794,1.61,34.22
795,1.6,11734.37
796,1.58,316.45
797,1.57,191.16
798,1.567,13.25
799,1.564,92.7
800,1.56,32.05
801,1.55,167.72
802,1.54,6.49
803,1.536,455.7
804,1.515,3.37
805,1.513,6609.38
806,1.512,8.0
807,1.51,331.12
808,1.501,25.0
809,1.5,2342.81
810,1.488,6.72
811,1.48,135.13
812,1.47,680.28
813,1.455,69.3
814,1.45,440.32
815,1.444,24.88
816,1.41,74.4
817,1.407,10.15
818,1.4,40103.64
819,1.389,4.33
820,1.388,4.33
821,1.385,4.34
822,1.382,4.35
823,1.381,4.35
824,1.38,21.75
825,1.378,8.72
826,1.377,13.08
827,1.376,21.83
828,1.375,34.96
829,1.374,8.74
830,1.373,8.76
831,1.372,4.38
832,1.37,17.53
833,1.368,17.56
834,1.367,17.57
835,1.366,8.8
836,1.365,4.4
837,1.364,8.8
838,1.363,13.23
839,1.362,44.1
840,1.361,39.69
841,1.36,35.36
842,1.359,8.84
843,1.358,8.84
844,1.356,13.29
845,1.355,44.3
846,1.354,4.44
847,1.353,4.44
848,1.35,40.75
849,1.34,298.5
850,1.329,19.91
851,1.299,10.0
852,1.296,14.75
853,1.294,3.87
854,1.288,7.76
855,1.271,2547.41
856,1.27,78.74
857,1.255,97.28
858,1.25,4.0
859,1.233,8110.3
860,1.21,4.29
861,1.2,13770.59
862,1.199,10.0
863,1.19,210.08
864,1.16,156.0
865,1.125,50.0
866,1.111,90.0
867,1.1,2767.0
868,1.088,9.19
869,1.07,10.0
870,1.05,92.6
871,1.007,53.54
872,1.001,34.61
873,1.0,3217.28
874,0.995,1507.53
875,0.9,111.11
876,0.88,10.0
877,0.805,12.5
878,0.8,18010.0
879,0.7,3107.82
880,0.67,14928.9
881,0.62,8.5
