,id,price,qty,qty_1,qty_2,quoteQty,quoteQty_1,quoteQty_2,isBuyerMaker,time
0,24905386,0.77,64.93,64.9,65.0,49.9961,50.0,50.0,False,1718068068648
1,24905387,0.77,219.92,219.9,220.0,169.3384,169.34,169.0,False,1718068069907
2,24905388,0.77,1129.64,1129.6,1130.0,869.8228,869.82,870.0,False,1718068074587
3,24905389,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,False,1718068074587
4,24905390,0.77,319.66,319.7,320.0,246.1382,246.14,246.0,False,1718068074587
5,24905391,0.77,2259.08,2259.1,2259.0,1739.4916,1739.49,1739.0,False,1718068074587
6,24905392,0.77,116.9,116.9,117.0,90.013,90.01,90.0,False,1718068074587
7,24905393,0.77,410.83,410.8,411.0,316.3391,316.34,316.0,False,1718068074587
8,24905394,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068074587
9,24905395,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068074587
10,24905396,0.77,38.92,38.9,39.0,29.9684,29.97,30.0,False,1718068074587
11,24905397,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068074587
12,24905398,0.77,77.92,77.9,78.0,59.9984,60.0,60.0,False,1718068074587
13,24905399,0.77,146.42,146.4,146.0,112.7434,112.74,113.0,False,1718068074587
14,24905400,0.77,1871.0,1871.0,1871.0,1440.67,1440.67,1441.0,False,1718068074590
15,24905401,0.77,1231.02,1231.0,1231.0,947.8854,947.89,948.0,False,1718068074591
16,24905402,0.77,29.4,29.4,29.0,22.638,22.64,23.0,False,1718068074591
17,24905403,0.77,246.0,246.0,246.0,189.42,189.42,189.0,True,1718068081196
18,24905404,0.77,281.73,281.7,282.0,216.9321,216.93,217.0,True,1718068081196
19,24905405,0.77,159.83,159.8,160.0,123.0691,123.07,123.0,True,1718068081196
20,24905406,0.77,2259.08,2259.1,2259.0,1739.4916,1739.49,1739.0,True,1718068081196
21,24905407,0.77,986.18,986.2,986.0,759.3586,759.36,759.0,True,1718068081196
22,24905408,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,True,1718068081196
23,24905409,0.77,1183.36,1183.4,1183.0,911.1872,911.19,911.0,True,1718068081196
24,24905410,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,True,1718068081196
25,24905411,0.77,1240.79,1240.8,1241.0,955.4083,955.41,955.0,True,1718068081196
26,24905412,0.77,39.34,39.3,39.0,30.2918,30.29,30.0,True,1718068081196
27,24905413,0.77,1222.36,1222.4,1222.0,941.2172,941.22,941.0,True,1718068081201
28,24905414,0.77,1361.64,1361.6,1362.0,1048.4628,1048.46,1048.0,True,1718068081201
29,24905415,0.77,1886.8,1886.8,1887.0,1452.836,1452.84,1453.0,True,1718068081202
30,24905416,0.77,53.35,53.4,53.0,41.0795,41.08,41.0,True,1718068081202
31,24905417,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,False,1718068094257
32,24905418,0.77,2244.28,2244.3,2244.0,1728.0956,1728.1,1728.0,False,1718068094257
33,24905419,0.77,14.8,14.8,15.0,11.396,11.4,11.0,False,1718068094258
34,24905420,0.77,986.18,986.2,986.0,759.3586,759.36,759.0,False,1718068094258
35,24905421,0.77,527.73,527.7,528.0,406.3521,406.35,406.0,False,1718068094258
36,24905422,0.77,1183.36,1183.4,1183.0,911.1872,911.19,911.0,False,1718068094258
