Time,quantity,payment quantity
2023-12-29 12:00:00,1.0,0.1459
2023-12-29 12:01:00,1.0,0.1445
2023-12-29 12:02:00,1.0,0.145
2023-12-29 12:03:00,1.0,0.146
2023-12-29 12:04:00,2.0,0.28800000000000003
2023-12-29 12:05:00,2.0,0.2899
2023-12-29 12:06:00,1.0,0.148
2023-12-29 12:07:00,1.0,0.1449
2023-12-29 12:08:00,1.0,0.1443
2023-12-29 12:09:00,3.0,0.4346
2023-12-29 12:10:00,1.0,0.145
2023-12-29 12:11:00,2.0,0.289
2023-12-29 12:12:00,1.0,0.14
2023-12-29 12:13:00,4.0,0.5989
2023-12-29 12:14:00,3.0,0.4413
2023-12-29 12:15:00,1.0,0.157
2023-12-29 12:16:00,0.0,0.0
2023-12-29 12:17:00,0.0,0.0
2023-12-29 12:18:00,0.0,0.0
2023-12-29 12:19:00,1.0,0.155
2023-12-29 12:20:00,0.0,0.0
2023-12-29 12:21:00,3.0,0.442
2023-12-29 12:22:00,3.0,0.44699999999999995
2023-12-29 12:23:00,2.0,0.307
2023-12-29 12:24:00,4.0,0.586
2023-12-29 12:25:00,2.0,0.3044
2023-12-29 12:26:00,0.0,0.0
2023-12-29 12:27:00,0.0,0.0
2023-12-29 12:28:00,0.0,0.0
2023-12-29 12:29:00,0.0,0.0
2023-12-29 12:30:00,1.0,0.15
2023-12-29 12:31:00,1.0,0.1498
2023-12-29 12:32:00,1.0,0.15
2023-12-29 12:33:00,2.0,0.2953
2023-12-29 12:34:00,2.0,0.3085
2023-12-29 12:35:00,1.0,0.154
2023-12-29 12:36:00,0.0,0.0
2023-12-29 12:37:00,0.0,0.0
2023-12-29 12:38:00,3.0,0.4613
2023-12-29 12:39:00,5.0,0.7774
2023-12-29 12:40:00,4.0,0.61
2023-12-29 12:41:00,3.0,0.4689
2023-12-29 12:42:00,3.0,0.516
2023-12-29 12:43:00,3.0,0.471
2023-12-29 12:44:00,1.0,0.1579
2023-12-29 12:45:00,2.0,0.3159
2023-12-29 12:46:00,2.0,0.31620000000000004
2023-12-29 12:47:00,0.0,0.0
2023-12-29 12:48:00,1.0,0.1599
2023-12-29 12:49:00,1.0,0.16
2023-12-29 12:50:00,2.0,0.32
2023-12-29 12:51:00,3.0,0.48
2023-12-29 12:52:00,0.0,0.0
2023-12-29 12:53:00,1.0,0.1589
2023-12-29 12:54:00,3.0,0.4637
2023-12-29 12:55:00,4.0,0.6638
2023-12-29 12:56:00,4.0,0.6728000000000001
2023-12-29 12:57:00,4.0,0.6734
2023-12-29 12:58:00,4.0,0.6799000000000001
2023-12-29 12:59:00,3.0,0.515
