trade_dt,trade_time,event_type,chain,nft identifier,quantity,payment quantity,payment symbol,event_timestamp
2023-12-27,12:59:47,sale,ethereum,116.0,1.0,0.175,ETH,1703653187.0
2023-12-27,12:59:23,sale,ethereum,5234.0,1.0,0.17,ETH,1703653163.0
2023-12-27,12:59:11,sale,ethereum,3714.0,1.0,0.17,ETH,1703653151.0
2023-12-27,12:58:59,sale,ethereum,12915.0,1.0,0.17,ETH,1703653139.0
2023-12-27,12:58:35,sale,ethereum,3544.0,1.0,0.17,ETH,1703653115.0
2023-12-27,12:58:23,sale,ethereum,822.0,1.0,0.1699,ETH,1703653103.0
2023-12-27,12:58:11,sale,ethereum,3125.0,1.0,0.17,ETH,1703653091.0
2023-12-27,12:57:59,sale,ethereum,3127.0,1.0,0.17,ETH,1703653079.0
2023-12-27,12:57:35,sale,ethereum,12924.0,1.0,0.1698,ETH,1703653055.0
2023-12-27,12:57:23,sale,ethereum,4020.0,1.0,0.1648,ETH,1703653043.0
2023-12-27,12:57:11,sale,ethereum,9765.0,1.0,0.1688,ETH,1703653031.0
2023-12-27,12:56:59,sale,ethereum,342.0,1.0,0.17,ETH,1703653019.0
2023-12-27,12:56:47,sale,ethereum,12887.0,1.0,0.1699,ETH,1703653007.0
2023-12-27,12:56:23,sale,ethereum,18991.0,1.0,0.1649,ETH,1703652983.0
2023-12-27,12:56:11,sale,ethereum,10463.0,1.0,0.168,ETH,1703652971.0
2023-12-27,12:55:59,sale,ethereum,9892.0,1.0,0.1679,ETH,1703652959.0
2023-12-27,12:55:35,sale,ethereum,681.0,1.0,0.165,ETH,1703652935.0
2023-12-27,12:55:23,sale,ethereum,6287.0,1.0,0.1635,ETH,1703652923.0
2023-12-27,12:55:11,sale,ethereum,14176.0,1.0,0.1674,ETH,1703652911.0
2023-12-27,12:54:59,sale,ethereum,7864.0,1.0,0.162,ETH,1703652899.0
2023-12-27,12:54:47,sale,ethereum,15752.0,1.0,0.1418,ETH,1703652887.0
2023-12-27,12:54:23,sale,ethereum,17950.0,1.0,0.1599,ETH,1703652863.0
2023-12-27,12:53:59,sale,ethereum,19508.0,1.0,0.1589,ETH,1703652839.0
2023-12-27,12:51:59,sale,ethereum,17950.0,1.0,0.16,WETH,1703652719.0
2023-12-27,12:51:23,sale,ethereum,14202.0,1.0,0.16,ETH,1703652683.0
2023-12-27,12:51:11,sale,ethereum,9765.0,1.0,0.16,ETH,1703652671.0
2023-12-27,12:50:47,sale,ethereum,11353.0,1.0,0.16,ETH,1703652647.0
2023-12-27,12:50:23,sale,ethereum,11388.0,1.0,0.16,ETH,1703652623.0
2023-12-27,12:49:35,sale,ethereum,7238.0,1.0,0.16,ETH,1703652575.0
2023-12-27,12:48:11,sale,ethereum,11785.0,1.0,0.1599,ETH,1703652491.0
2023-12-27,12:46:59,sale,ethereum,12761.0,1.0,0.1582,ETH,1703652419.0
2023-12-27,12:46:35,sale,ethereum,16412.0,1.0,0.158,ETH,1703652395.0
2023-12-27,12:45:47,sale,ethereum,13078.0,1.0,0.1579,ETH,1703652347.0
2023-12-27,12:45:35,sale,ethereum,4089.0,1.0,0.158,ETH,1703652335.0
2023-12-27,12:44:35,sale,ethereum,12282.0,1.0,0.1579,ETH,1703652275.0
2023-12-27,12:43:47,sale,ethereum,2858.0,1.0,0.158,ETH,1703652227.0
2023-12-27,12:43:35,sale,ethereum,13968.0,1.0,0.158,ETH,1703652215.0
2023-12-27,12:43:11,sale,ethereum,7238.0,1.0,0.155,ETH,1703652191.0
2023-12-27,12:42:59,sale,ethereum,4163.0,1.0,0.158,ETH,1703652179.0
2023-12-27,12:42:47,sale,ethereum,821.0,1.0,0.158,ETH,1703652167.0
2023-12-27,12:42:35,sale,ethereum,35.0,1.0,0.2,ETH,1703652155.0
2023-12-27,12:41:59,sale,ethereum,5026.0,1.0,0.156,ETH,1703652119.0
2023-12-27,12:41:47,sale,ethereum,12726.0,1.0,0.158,ETH,1703652107.0
2023-12-27,12:41:11,sale,ethereum,13268.0,1.0,0.1549,ETH,1703652071.0
2023-12-27,12:40:47,sale,ethereum,9782.0,1.0,0.151,ETH,1703652047.0
2023-12-27,12:40:35,sale,ethereum,12735.0,1.0,0.155,ETH,1703652035.0
2023-12-27,12:40:23,sale,ethereum,7006.0,1.0,0.151,ETH,1703652023.0
2023-12-27,12:40:11,sale,ethereum,5361.0,1.0,0.153,ETH,1703652011.0
2023-12-27,12:39:59,sale,ethereum,19537.0,1.0,0.157,ETH,1703651999.0
2023-12-27,12:39:47,sale,ethereum,8717.0,1.0,0.1555,ETH,1703651987.0
2023-12-27,12:39:35,sale,ethereum,127.0,1.0,0.16,ETH,1703651975.0
2023-12-27,12:39:23,sale,ethereum,16539.0,1.0,0.15,WETH,1703651963.0
2023-12-27,12:39:11,sale,ethereum,186.0,1.0,0.1549,ETH,1703651951.0
2023-12-27,12:38:47,sale,ethereum,10382.0,1.0,0.155,ETH,1703651927.0
