,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value
2022/1/1 8:00,BTC,0,0,0,0,10000,0,0,0,46443.65,0.264046765,10000
2022/1/1 8:15,BTC,0,46693.74,0,46693.74,10000,0,0,0,46693.74,0.803949109,10000
2022/1/1 8:30,BTC,0,46693.74,0,46693.74,10000,0,0,0,46582.68,0.564189205,10000
2022/1/1 8:45,BTC,0,46693.74,0,46693.74,10000,0,0,0,46876.81,1.199166518,10000
2022/1/1 9:00,BTC,0,46693.74,0,46693.74,10000,0,0,0,46845.06,1.130623596,10000
2022/1/1 9:15,BTC,0,46693.74,0,46693.74,10000,0,0,0,46771.72,0.972294843,10000
2022/1/1 9:30,BTC,0,46693.74,0,46693.74,10000,0,0,0,46823.95,1.085050648,10000
2022/1/1 9:45,BTC,0,46914.5,0,46914.5,10000,0,0,0,46914.5,1.280532903,10000
2022/1/1 10:00,BTC,0,46914.5,0,46914.5,10000,0,0,0,46788.59,1.008714342,10000
2022/1/1 10:15,BTC,0,46914.5,0,46914.5,10000,0,0,0,46809.58,1.05402823,10000
2022/1/1 10:30,BTC,0,46914.5,0,46914.5,10000,0,0,0,46791.99,1.016054371,10000
2022/1/1 10:45,BTC,0,46914.5,0,46914.5,10000,0,0,0,46888.07,1.223474969,10000
2022/1/1 11:00,BTC,0,46914.5,0,46914.5,10000,0,0,0,46853.73,1.149340671,10000
2022/1/1 11:15,BTC,0,46914.5,0,46914.5,10000,0,0,0,46825.25,1.08785713,10000
2022/1/1 11:30,BTC,0,46914.5,0,46914.5,10000,0,0,0,46860.13,1.163157197,10000
2022/1/1 11:45,BTC,0,46914.5,0,46914.5,10000,0,0,0,46632.61,0.671979697,10000
2022/1/1 12:00,BTC,0,46914.5,0,46914.5,10000,0,0,0,46667,0.746221936,10000
2022/1/1 12:15,BTC,0,46819.09,0,46819.09,10000,0,0,0,46819.09,1.074558724,10000
2022/1/1 12:30,BTC,0,46819.09,0,46819.09,10000,0,0,0,46700.18,0.817851988,10000
2022/1/1 12:45,BTC,0,46819.09,0,46819.09,10000,0,0,0,46820,1.076523261,10000
2022/1/1 13:00,BTC,0,47476.78,0,47476.78,10000,0,0,0,47476.78,2.494401069,10000
2022/1/1 13:15,BTC,0,47476.78,0,47476.78,10000,0,0,0,47240.73,1.98480873,10000
2022/1/1 13:30,BTC,0,47476.78,0,47476.78,10000,0,0,0,47111.01,1.704765018,10000
2022/1/1 13:45,BTC,0,47476.78,0,47476.78,10000,0,0,0,47199.5,1.895800078,10000
2022/1/1 14:00,BTC,0,47476.78,0,47476.78,10000,0,0,0,47144.41,1.776870013,10000
2022/1/1 14:15,BTC,0,47476.78,0,47476.78,10000,0,0,0,47072.34,1.621282977,10000
2022/1/1 14:30,BTC,-1,47044.24,0.212523361,47044.24,0,0,0,0,47044.24,1.560619792,10000
2022/1/1 14:45,BTC,-1,47044.24,0.212523361,47044.24,0,0,0,0,47041.45,1.55459665,10000
2022/1/1 15:00,BTC,-1,47044.24,0.212523361,47044.24,0,0,0,0,46992.68,1.449310404,10000
2022/1/1 15:15,BTC,0,47073.12,0.212523361,47073.12,9987.86067,-10.13932974,-0.10141358,-0.121393297,47094.65,1.669446523,9987.86067
2022/1/1 15:30,BTC,0,47073.12,0.212523361,47073.12,9987.86067,0,0,-0.121393297,47153.78,1.79709827,9987.86067
2022/1/1 15:45,BTC,0,47145.05,0,47145.05,9987.86067,0,0,-0.121393297,47288.47,2.087871379,9987.86067
2022/1/1 16:00,BTC,0,47145.05,0,47145.05,9987.86067,0,0,-0.121393297,47207.13,1.912271968,9987.86067
