,Close,ma7,ma25,after_close_price,ma_action,cash
8,3730.18,3731.118571428571,3718.4004,3725.82,-1,10011.688443989297
12,3725.82,3728.281428571429,3729.9108,3727.11,1,10015.154815980628
15,3727.11,3730.098571428571,3728.8448,3721.53,-1,10030.148890175693
19,3721.53,3715.6742857142854,3724.4352000000003,3740.34,1,10080.845001888942
23,3740.34,3745.2957142857144,3724.8948000000005,3729.23,-1,10110.78831933361
35,3729.23,3721.7228571428573,3716.1079999999997,3723.15,-1,10127.27257827756
37,3723.15,3724.667142857143,3718.9628000000002,3727.54,-1,10115.331419146545
40,3727.54,3718.175714285714,3720.5444,3699.36,1,10038.86006286558
44,3699.36,3691.8399999999997,3711.1152,3710.64,1,10069.470314776485
50,3710.64,3704.32,3700.5212,3718.51,-1,10048.113693984036
53,3718.51,3714.8185714285714,3707.442,3705.54,-1,10083.161074416246
60,3705.54,3700.345714285714,3708.8556,3726.01,1,10138.862080799474
64,3726.01,3730.0542857142855,3712.1312,3752.66,-1,10066.344649430985
72,3752.66,3754.7885714285717,3740.14,3768.69,-1,10023.344882670772
96,3768.69,3763.1600000000003,3755.4332,3748.17,-1,10077.920620391944
104,3748.17,3747.682857142857,3756.5528000000004,3759.01,1,10107.066752911292
112,3759.01,3754.827142857143,3750.4704,3731.31,-1,10181.545338777158
117,3731.31,3727.04,3745.9983999999995,3741.36,1,10208.968557607732
127,3741.36,3744.115714285714,3742.4768000000004,3739.81,-1,10213.19800926817
130,3739.81,3739.4014285714284,3741.9344,3756.02,1,10257.466552250364
135,3756.02,3756.5714285714284,3745.5847999999996,3734.25,-1,10316.919123547239
145,3734.25,3738.8014285714285,3745.8596000000002,3747.07,1,10352.33799029796
149,3747.07,3752.292857142857,3746.5596,3785.84,-1,10245.22492758927
161,3785.84,3785.4214285714284,3765.4452,3813.34,-1,10170.804538584794
165,3813.34,3827.96,3793.6644,3787.14,-1,10240.684244803208
208,3787.14,3786.148571428571,3794.1708000000003,3810.37,1,10303.499745420237
216,3810.37,3814.6357142857146,3800.2583999999997,3812.52,-1,10297.68599912981
226,3812.52,3814.34,3807.5352000000003,3806.09,-1,10315.053546309733
231,3806.09,3799.874285714286,3807.94,3835.29,1,10394.18976314965
238,3835.29,3837.367142857143,3821.6412,3825.93,-1,10419.55671484902
245,3825.93,3820.8385714285714,3829.7304,3809.58,1,10375.029043854574
253,3809.58,3806.6157142857146,3820.038,3746.67,1,10203.699638211725
259,3746.67,3750.3485714285716,3785.3392,3696.92,1,10068.210241760735
275,3696.92,3698.0057142857145,3736.1724,3754.83,1,10225.922622634642
293,3754.83,3745.162857142857,3757.9323999999997,3721.17,1,10134.252811890112
297,3721.17,3727.7228571428573,3743.1967999999997,3744.51,1,10197.817083511542
304,3744.51,3745.255714285714,3732.2976,3756.46,-1,10165.272394313766
316,3756.46,3753.3885714285716,3744.1072000000004,3771.17,-1,10125.465992296879
322,3771.17,3771.4900000000002,3759.5784000000003,3826.1,-1,9977.980769685098
333,3826.1,3817.697142857143,3786.38,3857.23,-1,9896.797700408211
345,3857.23,3860.8128571428574,3836.5076,3858.0,-1,9894.822050983803
359,3858.0,3858.19,3853.3340000000003,3777.6,-1,10101.028295903217
364,3777.6,3787.9742857142855,3832.4444,3800.85,1,10163.19710887435
368,3800.85,3810.227142857143,3814.1308000000004,3823.48,1,10223.70808683292
371,3823.48,3822.8185714285714,3810.9436,3822.57,-1,10226.141360802972
376,3822.57,3824.401428571429,3819.0624,3772.96,-1,10358.858060015658
384,3772.96,3790.692857142857,3807.6767999999997,3808.58,1,10456.65462401256
389,3808.58,3806.7242857142855,3798.41,3812.44,-1,10446.056793102172
398,3812.44,3813.002857142857,3803.74,3802.67,-1,10472.826519279794
406,3802.67,3803.8314285714287,3808.7436,3813.81,1,10503.506880032837
412,3813.81,3817.065714285714,3808.8992000000003,3842.51,-1,10424.465017051476
424,3842.51,3835.0814285714287,3821.5264,3791.18,-1,10563.7197722311
432,3791.18,3790.5671428571427,3814.9848,3800.4,1,10589.410321426858
452,3800.4,3798.165714285715,3809.8388,3750.43,1,10450.174232130546
458,3750.43,3743.2628571428572,3779.5496000000003,3624.42,1,10099.060771809793
465,3624.42,3643.0171428571425,3707.2124,3524.99,1,9822.00965396444
486,3524.99,3529.1642857142856,3536.4132,3516.57,1,9798.548219666363
490,3516.57,3513.611428571429,3526.0528000000004,3430.0,1,9557.330123801212
499,3430.0,3433.9700000000003,3470.1023999999998,3392.09,1,9451.697941587421
516,3392.09,3402.995714285714,3434.9512,3330.01,1,9278.718625527486
520,3330.01,3331.0757142857146,3387.2915999999996,3425.34,1,9544.34552952223
565,3425.34,3424.4985714285713,3437.7459999999996,3410.89,1,9504.082141682891
575,3410.89,3414.648571428571,3423.6636,3376.26,1,9407.589330549587
580,3376.26,3372.337142857143,3398.0960000000005,3162.81,1,8812.833611912452
594,3162.81,3198.1228571428574,3287.5776,3097.02,1,8629.516775514528
641,3097.02,3128.9914285714285,3171.9344,3190.69,1,8890.518266096587
645,3190.69,3201.858571428572,3165.7812,3174.42,-1,8935.852890328146
669,3174.42,3178.567142857143,3199.9103999999998,3233.0,1,9100.753017694853
677,3233.0,3233.4,3209.0688,3197.7,-1,9200.120967439558
683,3197.7,3200.758571428571,3218.9532,3188.31,1,9173.10494470939
725,3188.31,3198.617142857143,3211.8468000000007,3149.33,1,9060.95536366339
734,3149.33,3159.5071428571428,3184.4780000000005,3038.75,1,8742.805012917708
745,3038.75,3042.441428571429,3105.1495999999997,3128.29,1,9000.421059271193
789,3128.29,3138.171428571429,3131.2388,3127.7,-1,9002.11855164721
793,3127.7,3126.5028571428566,3131.7008,3134.0,1,9020.251156077104
796,3134.0,3136.565714285714,3132.1784,3110.42,-1,9088.118904086134
803,3110.42,3114.4514285714286,3127.1412,3121.62,1,9120.843401654232
815,3121.62,3122.8428571428567,3108.3964,3103.58,-1,9173.553217379991
830,3103.58,3092.121428571428,3097.0068,3165.3,1,9355.985023415826
838,3165.3,3163.0471428571427,3124.6068000000005,3197.57,-1,9260.601446280758
853,3197.57,3197.112857142857,3198.8203999999996,3188.08,1,9233.11710419436
856,3188.08,3192.534285714286,3197.3736,3152.54,1,9130.18838788766
863,3152.54,3155.441428571429,3177.2732,3159.54,1,9150.461348330735
875,3159.54,3153.86,3147.3648000000003,3177.95,-1,9097.143462365446
883,3177.95,3174.1014285714286,3159.3328,3158.94,-1,9151.561152140164
